        Frequency / GHz                Power Accepted/real
                 3.58463                      0.42210496
                 3.58484                      0.42177942
                 3.58505                      0.42145367
                 3.58526                      0.42112773
                 3.58547                      0.42080158
                 3.58568                      0.42047523
                 3.58589                      0.42014868
                  3.5861                      0.41982195
                 3.58631                      0.41949502
                 3.58652                      0.41916791
                 3.58673                      0.41884061
                 3.58694                      0.41851314
                 3.58715                      0.41818549
                 3.58736                      0.41785766
                 3.58757                      0.41752966
                 3.58778                      0.41720149
                 3.58799                      0.41687315
                  3.5882                      0.41654465
                 3.58841                        0.416216
                 3.58862                      0.41588718
                 3.58883                      0.41555821
                 3.58904                      0.41522909
                 3.58925                      0.41489982
                 3.58946                       0.4145704
                 3.58967                      0.41424084
                 3.58988                      0.41391114
                 3.59009                       0.4135813
                  3.5903                      0.41325133
                 3.59051                      0.41292123
                 3.59072                        0.412591
                 3.59093                      0.41226064
                 3.59114                      0.41193016
                 3.59135                      0.41159956
                 3.59156                      0.41126884
                 3.59177                        0.410938
                 3.59198                      0.41060705
                 3.59219                        0.410276
                  3.5924                      0.40994483
                 3.59261                      0.40961357
                 3.59282                       0.4092822
                 3.59303                      0.40895074
                 3.59324                      0.40861917
                 3.59345                      0.40828752
                 3.59366                      0.40795578
                 3.59387                      0.40762395
                 3.59408                      0.40729203
                 3.59429                      0.40696003
                  3.5945                      0.40662796
                 3.59471                       0.4062958
                 3.59492                      0.40596358
                 3.59513                      0.40563128
                 3.59534                      0.40529892
                 3.59555                      0.40496648
                 3.59576                      0.40463399
                 3.59597                      0.40430144
                 3.59618                      0.40396883
                 3.59639                      0.40363616
                  3.5966                      0.40330344
                 3.59681                      0.40297068
                 3.59702                      0.40263786
                 3.59723                        0.402305
                 3.59744                       0.4019721
                 3.59765                      0.40163917
                 3.59786                      0.40130619
                 3.59807                      0.40097318
                 3.59828                      0.40064015
                 3.59849                      0.40030708
                  3.5987                      0.39997399
                 3.59891                      0.39964087
                 3.59912                      0.39930774
                 3.59933                      0.39897458
                 3.59954                      0.39864142
                 3.59975                      0.39830824
                 3.59996                      0.39797505
                 3.60017                      0.39764185
                 3.60038                      0.39730864
                 3.60059                      0.39697544
                  3.6008                      0.39664224
                 3.60101                      0.39630904
                 3.60122                      0.39597584
                 3.60143                      0.39564265
                 3.60164                      0.39530948
                 3.60185                      0.39497631
                 3.60206                      0.39464317
                 3.60227                      0.39431004
                 3.60248                      0.39397693
                 3.60269                      0.39364384
                  3.6029                      0.39331078
